OCC2010	OccGroup	Occupation
7700	PRODUCTION	First-Line Supervisors of Production and Operating Workers
7710	PRODUCTION	Aircraft Structure, Surfaces, Rigging, and Systems Assemblers
7720	PRODUCTION	Electrical, Electronics, and Electromechanical Assemblers
7730	PRODUCTION	Engine and Other Machine Assemblers
7740	PRODUCTION	Structural Metal Fabricators and Fitters
7750	PRODUCTION	Assemblers and Fabricators, nec
7800	PRODUCTION	Bakers
7810	PRODUCTION	Butchers and Other Meat, Poultry, and Fish Processing Workers
7830	PRODUCTION	Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders
7840	PRODUCTION	Food Batchmakers
7850	PRODUCTION	Food Cooking Machine Operators and Tenders
7855	PRODUCTION	Food Processing, nec
7900	PRODUCTION	Computer Control Programmers and Operators
7920	PRODUCTION	Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic
7930	PRODUCTION	Forging Machine Setters, Operators, and Tenders, Metal and Plastic
7940	PRODUCTION	Rolling Machine Setters, Operators, and Tenders, metal and Plastic
7950	PRODUCTION	Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic
7960	PRODUCTION	Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic
